word,frequency_in_target,frequency_in_reference,in_reference,lexical_confidence
vijf,12,331,True,0.4842
vlitticheit,12,0,False,0.0000
vrouden,12,173,True,0.4303
vrouwe,12,838,True,0.5616
vueriger,12,2,True,0.0916
wercke,12,78,True,0.3645
wonder,12,320,True,0.4814
wosten,12,0,False,0.0000
wttersten,12,2,True,0.0916
aenders,11,0,False,0.0000
alde,11,10,True,0.2000
apenhertich,11,0,False,0.0000
begrauen,11,67,True,0.3520
beslaten,11,1,True,0.0578
beuaelen,11,0,False,0.0000
bliuen,11,220,True,0.4503
brueder,11,248,True,0.4602
deel,11,616,True,0.5359
deuoecie,11,0,False,0.0000
diedem,11,0,False,0.0000
docht,11,182,True,0.4345
droefte,11,0,False,0.0000
enighen,11,103,True,0.3874
fije,11,0,False,0.0000
foube,11,0,False,0.0000
gebaeren,11,0,False,0.0000
geduldelick,11,0,False,0.0000
geheiten,11,65,True,0.3495
gelaeten,11,0,False,0.0000
gelouen,11,30,True,0.2864
gemeynten,11,1,True,0.0578
gemoede,11,11,True,0.2073
geroert,11,5,True,0.1495
gesacht,11,1,True,0.0578
gevielt,11,8,True,0.1833
ghebaren,11,10,True,0.2000
ghebracht,11,88,True,0.3744
goddienstichger,11,0,False,0.0000
gync,11,0,False,0.0000
hertelicke,11,1,True,0.0578
hulpen,11,192,True,0.4390
iaren,11,182,True,0.4345
inden,11,4013,True,0.6921
magen,11,170,True,0.4289
maria,11,623,True,0.5369
noetdroeftich,11,0,False,0.0000
onthielt,11,17,True,0.2411
pijn,11,222,True,0.4510
puer,11,92,True,0.3781
riep,11,623,True,0.5369
sant,11,92,True,0.3781
